base/,pm_utils-1.4.1-1.mz,pm_utils-1.4.1-1.mz.desc,pm_utils-1.4.1-1.mz.sha256
base/,popt-1.16-1.mz,popt-1.16-1.mz.desc,popt-1.16-1.mz.sha256
base/,procps_ng-3.3.15-1.mz,procps_ng-3.3.15-1.mz.desc,procps_ng-3.3.15-1.mz.sha256
base/,pv-1.6.6-1.mz,pv-1.6.6-1.mz.desc,pv-1.6.6-1.mz.sha256
base/,readline-7.0-1.mz,readline-7.0-1.mz.desc,readline-7.0-1.mz.sha256
base/,sudo-1.8.27-1.mz,sudo-1.8.27-1.mz.desc,sudo-1.8.27-1.mz.sha256
base/,tar-1.30-1.mz,tar-1.30-1.mz.desc,tar-1.30-1.mz.sha256
base/,texinfo-6.5-1.mz,texinfo-6.5-1.mz.desc,texinfo-6.5-1.mz.sha256
base/,tree-1.8.0-1.mz,tree-1.8.0-1.mz.desc,tree-1.8.0-1.mz.sha256
base/,tzdata-2018e-1.mz,tzdata-2018e-1.mz.desc,tzdata-2018e-1.mz.sha256
base/,vim-81-1.mz,vim-81-1.mz.desc,vim-81-1.mz.sha256
base/,which-2.21-1.mz,which-2.21-1.mz.desc,which-2.21-1.mz.sha256
base/,xml_parser-2.44-1.mz,xml_parser-2.44-1.mz.desc,xml_parser-2.44-1.mz.sha256
base/,xz-5.2.4-1.mz,xz-5.2.4-1.mz.desc,xz-5.2.4-1.mz.sha256
base/,zlib-1.2.11-1.mz,zlib-1.2.11-1.mz.desc,zlib-1.2.11-1.mz.sha256
dev/,lua-5.3.5-1.mz,lua-5.3.5-1.mz.desc,lua-5.3.5-1.mz.sha256
dev/,perl-5.28.0-1.mz,perl-5.28.0-1.mz.desc,perl-5.28.0-1.mz.sha256
dev/,python-3.7.0-1.mz,python-3.7.0-1.mz.desc,python-3.7.0-1.mz.sha256
dev/,ruby-2.6.2-1.mz,ruby-2.6.2-1.mz.desc,ruby-2.6.2-1.mz.sha256
extra/,dejagnu-1.6.2-1.mz,dejagnu-1.6.2-1.mz.desc,dejagnu-1.6.2-1.mz.sha256
extra/,expect-5.45.4-1.mz,expect-5.45.4-1.mz.desc,expect-5.45.4-1.mz.sha256
extra/,firefox-66.0.2-2.mz,firefox-66.0.2-2.mz.desc,firefox-66.0.2-2.mz.sha256
extra/,firejail-0.9.58.2-1.mz,firejail-0.9.58.2-1.mz.desc,firejail-0.9.58.2-1.mz.sha256
extra/,fluxbox-1.3.7-1.mz,fluxbox-1.3.7-1.mz.desc,fluxbox-1.3.7-1.mz.sha256
extra/,google_chrome-71.0.3578.98-1.mz,google_chrome-71.0.3578.98-1.mz.desc,google_chrome-71.0.3578.98-1.mz.sha256
extra/,gpm-1.20.7-1.mz,gpm-1.20.7-1.mz.desc,gpm-1.20.7-1.mz.sha256
extra/,htop-3.0.0-1.mz,htop-3.0.0-1.mz.desc,htop-3.0.0-1.mz.sha256
extra/,i3_gaps-4.16.1-1.mz,i3_gaps-4.16.1-1.mz.desc,i3_gaps-4.16.1-1.mz.sha256
extra/,jack2-1.9.12-1.mz,jack2-1.9.12-1.mz.desc,jack2-1.9.12-1.mz.sha256
extra/,jp2a-1.0.6-1.mz,jp2a-1.0.6-1.mz.desc,jp2a-1.0.6-1.mz.sha256
extra/,lightdm-1.28.0-1.mz,lightdm-1.28.0-1.mz.desc,lightdm-1.28.0-1.mz.sha256
extra/,lightdm_gtk_greeter-2.0.5-1.mz,lightdm_gtk_greeter-2.0.5-1.mz.desc,lightdm_gtk_greeter-2.0.5-1.mz.sha256
extra/,mutt-1.11.4-1.mz,mutt-1.11.4-1.mz.desc,mutt-1.11.4-1.mz.sha256
extra/,openbox-3.6.1-1.mz,openbox-3.6.1-1.mz.desc,openbox-3.6.1-1.mz.sha256
extra/,p7zip-16.02-1.mz,p7zip-16.02-1.mz.desc,p7zip-16.02-1.mz.sha256
extra/,qemu-3.0.0-1.mz,qemu-3.0.0-1.mz.desc,qemu-3.0.0-1.mz.sha256
extra/,qt-5.11.1-1.mz,qt-5.11.1-1.mz.desc,qt-5.11.1-1.mz.sha256
extra/,ranger-1.9.2-1.mz,ranger-1.9.2-1.mz.desc,ranger-1.9.2-1.mz.sha256
extra/,rar-5.70-1.mz,rar-5.70-1.mz.desc,rar-5.70-1.mz.sha256
extra/,rpcsvc_proto-1.4-1.mz,rpcsvc_proto-1.4-1.mz.desc,rpcsvc_proto-1.4-1.mz.sha256
extra/,squashfs-4.3-1.mz,squashfs-4.3-1.mz.desc,squashfs-4.3-1.mz.sha256
extra/,thunar_archive_plugin-0.4.0-2.mz,thunar_archive_plugin-0.4.0-2.mz.desc,thunar_archive_plugin-0.4.0-2.mz.sha256
extra/,unrar-5.70-1.mz,unrar-5.70-1.mz.desc,unrar-5.70-1.mz.sha256
extra/,usbutils-010-1.mz,usbutils-010-1.mz.desc,usbutils-010-1.mz.sha256
extra/,xdg_user_dirs-0.17-1.mz,xdg_user_dirs-0.17-1.mz.desc,xdg_user_dirs-0.17-1.mz.sha256
extra/,xfce4_sensors_plugin-1.2.4-1.mz,xfce4_sensors_plugin-1.2.4-1.mz.desc,xfce4_sensors_plugin-1.2.4-1.mz.sha256
extra/,xfce_dev_tools-4.12.0-1.mz,xfce_dev_tools-4.12.0-1.mz.desc,xfce_dev_tools-4.12.0-1.mz.sha256
extra/,xorriso-1.5.0-1.mz,xorriso-1.5.0-1.mz.desc,xorriso-1.5.0-1.mz.sha256
extra/,zsh-5.5.1-1.mz,zsh-5.5.1-1.mz.desc,zsh-5.5.1-1.mz.sha256
games/,bubblegum-1.0-1.mz,bubblegum-1.0-1.mz.desc,bubblegum-1.0-1.mz.sha256
games/,manaplus-1.9.3.23-1.mz,manaplus-1.9.3.23-1.mz.desc,manaplus-1.9.3.23-1.mz.sha256
games/,wesnoth-1.14.6-1.mz,wesnoth-1.14.6-1.mz.desc,wesnoth-1.14.6-1.mz.sha256
lib/,SDL-1.2.15-1.mz,SDL-1.2.15-1.mz.desc,SDL-1.2.15-1.mz.sha256
lib/,SDL2_image-2.0.4-1.mz,SDL2_image-2.0.4-1.mz.desc,SDL2_image-2.0.4-1.mz.sha256
lib/,SDL2_mixer-2.0.4-1.mz,SDL2_mixer-2.0.4-1.mz.desc,SDL2_mixer-2.0.4-1.mz.sha256
lib/,SDL2_ttf-2.0.15-1.mz,SDL2_ttf-2.0.15-1.mz.desc,SDL2_ttf-2.0.15-1.mz.sha256
lib/,apr-1.6.3-1.mz,apr-1.6.3-1.mz.desc,apr-1.6.3-1.mz.sha256
lib/,apr_util-1.6.1-1.mz,apr_util-1.6.1-1.mz.desc,apr_util-1.6.1-1.mz.sha256
lib/,dconf-0.26.1-1.mz,dconf-0.26.1-1.mz.desc,dconf-0.26.1-1.mz.sha256
lib/,fdk_aac-0.1.6-1.mz,fdk_aac-0.1.6-1.mz.desc,fdk_aac-0.1.6-1.mz.sha256
lib/,gc-7.6.4-1.mz,gc-7.6.4-1.mz.desc,gc-7.6.4-1.mz.sha256
lib/,giflib-5.1.4-1.mz,giflib-5.1.4-1.mz.desc,giflib-5.1.4-1.mz.sha256
lib/,glu-9.0.0-1.mz,glu-9.0.0-1.mz.desc,glu-9.0.0-1.mz.sha256
lib/,gnutls-3.5.19-1.mz,gnutls-3.5.19-1.mz.desc,gnutls-3.5.19-1.mz.sha256
lib/,graphite2-1.3.12-1.mz,graphite2-1.3.12-1.mz.desc,graphite2-1.3.12-1.mz.sha256
lib/,gsettings_desktop_schemas-3.28.1-1.mz,gsettings_desktop_schemas-3.28.1-1.mz.desc,gsettings_desktop_schemas-3.28.1-1.mz.sha256
lib/,gsl-2.5-1.mz,gsl-2.5-1.mz.desc,gsl-2.5-1.mz.sha256
lib/,gtkmm-2.24.5-1.mz,gtkmm-2.24.5-1.mz.desc,gtkmm-2.24.5-1.mz.sha256
lib/,gtkmm-3.22.2-1.mz,gtkmm-3.22.2-1.mz.desc,gtkmm-3.22.2-1.mz.sha256
